"ID_sample","Altitude","Plot","Betula pendula","Betula pubescens","Sorbus aucuparia","Corylus avellana","Picea abies","Fraxinus excelsior","Alnus glutinosa","Alnus incana","Pinus sylvestris","Salix sp.","Fagus sylvatica","Rhamnus cathartica","Pinus sp.","Acer sp.","Quercus sp.","Abies alba","Aesculus hippocastanum","Carpinus betulus","Pinaceae sp.","Pinus nigra","Quercus rotundifolia","Sorbus domestica","Quercus faginea","Populus tremula","Larix decidua","Pinus cembra"
"TEL5A",1007,"A",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,45,0,0,0,0,0,0,0
"TEL5B",1003,"B",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,95,0,0,0,0,0,0,0
"TEL5C",1010,"C",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0
"TEL6A",823,"A",0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,40,0,0,0,0,0,0,0
"TEL6B",819,"B",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0
"TEL6C",827,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"MEL1A",1974,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEL1B",1980,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEL1C",1982,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEL2A",1734,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"MEL2B",1729,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"MEL2C",1720,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,0,0,0,0,0
"MEL3A",1515,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"MEL3B",1515,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0
"MEL3C",1494,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0
"SPEL1A",1914,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL1B",1906,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL1C",1913,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL2A",1747,"A",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL2B",1751,"B",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL2C",1735,"C",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL3A",1554,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"SPEL3B",1554,"B",0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"SPEL3C",1507,"C",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL4A",1375,"A",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL4B",1369,"B",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL4C",1372,"C",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPEL5A",1183,"A",0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
"SPEL5B",1180,"B",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70,0,0
"SPEL5C",1174,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"SPEL6A",971,"A",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
"SPEL6B",962,"B",0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"SPEL6C",971,"C",0,0,0,0,0,0,0,0,80,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"TREL1A",1,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL1B",1,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL1C",1,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL2A",2,"A",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL2B",2,"B",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL2C",2,"C",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL3A",3,"A",95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL3B",3,"B",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREL3C",3,"C",70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL1A",1,"A",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL1B",1,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL1С",1,"C",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL2A",2,"A",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL2B",2,"B",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL2C",2,"C",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL3A",3,"A",90,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL3B",3,"B",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL3C",3,"C",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL4A",4,"A",30,0,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL4B",4,"B",10,0,30,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEL4C",4,"C",80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL1A",1,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL1B",1,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL1C",1,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL2A",2,"A",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL2B",2,"B",50,0,0,0,15,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL2C",2,"C",20,0,0,0,10,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL3A",3,"A",20,0,0,0,30,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL3B",3,"B",15,0,0,0,15,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIEL3C",3,"C",50,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL1A",1,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL1B",1,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL1C",1,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL2A",2,"A",70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL2B",2,"B",60,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL2C",2,"C",30,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL3A",3,"A",50,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL3B",3,"B",30,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAEL3C",3,"C",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL1A",301,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL1B",313,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL1C",308,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEL2A",250,"A",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
